Decade,Year,Song,Artist,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute
1980s,1979,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.","soul jazz, smooth jazz",63,7.31,False,0.122,0.39,504,17.86,68.96
1980s,1983,Sweet Dreams (Are Made of This) - 2005 Remaster,Eurythmics,"new wave, synthpop",85,3.62,False,0.0,0.0,0,0.0,0.0
1980s,1986,"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,,75,5.81,False,0.0,0.0,0,0.0,0.0
1980s,1984,I Want to Know What Love Is - 1999 Remaster,Foreigner,"aor, classic rock",85,5.08,False,0.0,0.0,0,0.0,0.0
1980s,1983,Gold - 2003 Remaster,Spandau Ballet,"new wave, synthpop",68,4.85,False,0.0,0.0,0,0.0,0.0
1980s,1987,Englishman In New York,Sting,soft rock,75,4.45,False,0.017,0.525,366,29.23,82.17
1980s,1981,Dancing With Myself - Uptown Mix,Generation X,,66,6.0,False,0.0,0.0,0,0.0,0.0
1980s,2009,Total Eclipse of the Heart,Bonnie Tyler,,81,4.46,False,0.171,0.661,694,19.31,155.75
1980s,1986,Livin' On A Prayer,Bon Jovi,"glam metal, rock",81,4.15,False,0.055,0.578,327,29.05,78.7
1980s,1982,Africa,TOTO,"yacht rock, soft rock",86,4.92,False,0.054,0.354,307,36.81,62.38
1980s,1981,Down Under,Men At Work,,80,3.71,False,0.246,0.402,339,25.66,91.49
1980s,1983,Uptown Girl,Billy Joel,soft rock,83,3.3,False,0.244,0.606,297,31.99,89.87
1980s,1984,Self Control,Laura Branigan,,79,4.11,False,0.199,0.509,451,20.62,109.8
1980s,2003,You Spin Me Round (Like a Record),Dead Or Alive,"hi-nrg, synthpop",72,3.25,False,0.025,0.452,370,17.84,113.76
1980s,1980,Video Killed The Radio Star,The Buggles,,64,4.23,False,-0.113,0.131,324,29.01,76.6
1980s,1999,"Take My Breath Away - Love Theme from ""Top Gun""",Berlin,,74,4.26,False,0.0,0.0,0,0.0,0.0
1980s,1987,Welcome To The Jungle,Guns N' Roses,"rock, glam metal, hard rock, classic rock",84,4.56,True,0.342,0.653,337,32.05,73.94
1980s,1984,Heaven,Bryan Adams,,83,4.06,False,0.074,0.524,306,35.62,75.44
1980s,1980,Super Trouper,ABBA,,75,4.21,False,0.001,0.512,451,24.61,107.02
1980s,1986,Brother Louie,Modern Talking,"europop, italo disco, eurodance",76,3.71,False,0.199,0.709,311,27.33,83.8
1980s,2014,Time After Time,Cyndi Lauper,,71,4.05,False,-0.036,0.45,283,28.98,69.86
1980s,1981,Tainted Love,Soft Cell,"synthpop, new wave",79,2.56,False,0.37,0.57,247,35.22,96.36
1980s,1980,Another One Bites The Dust - Remastered 2011,Queen,"classic rock, rock, glam rock",82,3.58,False,0.184,0.537,347,30.55,96.99
1980s,1989,Lovesong - Remastered,The Cure,"new wave, post-punk, gothic rock, darkwave",72,3.47,False,0.0,0.0,0,0.0,0.0
1980s,1987,I Think We're Alone Now,Tiffany,,76,3.81,False,0.2,0.682,390,18.72,102.25
1980s,1985,Walk Like an Egyptian,The Bangles,jangle pop,61,3.41,False,-0.036,0.236,238,48.74,69.81
1980s,1997,Live Is Life - Live,Opus,,58,4.24,False,0.303,0.406,285,20.7,67.16
1980s,1980,Back In Black,AC/DC,"rock, hard rock, classic rock, rock and roll",85,4.27,False,-0.006,0.125,308,32.14,72.19
1980s,1981,In The Air Tonight - 2015 Remastered,Phil Collins,soft rock,81,5.61,False,0.0,0.0,0,0.0,0.0
1980s,1984,Still Loving You - 2015 - Remaster,Scorpions,"hard rock, glam metal, rock",63,6.48,False,0.0,0.0,0,0.0,0.0
1980s,1983,Say Say Say - Remastered 2015,Paul McCartney,,68,3.93,False,0.0,0.0,0,0.0,0.0
1980s,1998,Always on My Mind,Pet Shop Boys,"synthpop, new wave",74,3.92,False,0.305,0.664,259,23.94,66.15
1980s,1981,Golden Brown,The Stranglers,"proto-punk, new wave",82,3.45,False,0.232,0.485,145,34.48,42.08
1980s,1986,You Give Love A Bad Name,Bon Jovi,"glam metal, rock",77,3.71,False,-0.1,0.574,302,25.83,81.36
1980s,1985,Cheri Cheri Lady,Modern Talking,"europop, italo disco, eurodance",80,3.77,False,0.234,0.546,328,26.52,86.95
1980s,1984,Radio Ga Ga - Remastered 2011,Queen,"classic rock, rock, glam rock",76,5.8,False,0.0,0.0,0,0.0,0.0
