Decade,Year,Song,Artist,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute,Problem_Type
1970s,1975,Low Rider,War,,72,3.18,False,-0.045,0.411,88,43.18,27.67,Missing Genre Only
1970s,1996,I'm Every Woman,Chaka Khan,,54,4.16,False,0.214,0.45,346,28.03,83.17,Missing Genre Only
1970s,1972,You're So Vain,Carly Simon,,76,4.31,False,0.107,0.636,378,29.89,87.77,Missing Genre Only
1970s,1970,Let It Be - Remastered 2009,The Beatles,"classic rock, psychedelic rock",79,4.05,False,0.221,0.459,267,23.6,65.93,Missing Lyrics Only
1980s,1984,Born in the U.S.A.,Bruce Springsteen,,76,4.66,False,0.009,0.296,266,43.98,57.04,Missing Genre Only
1980s,1987,"Heaven Is a Place on Earth - Promo 7"" Edit",Belinda Carlisle,,76,3.89,False,0.202,0.435,305,28.52,78.32,Missing Genre Only
1980s,1981,Bette Davis Eyes,Kim Carnes,,80,3.8,False,0.286,0.529,262,32.06,68.95,Missing Genre Only
1980s,1987,Father Figure - Remastered,George Michael,,72,5.61,False,0.324,0.549,463,29.59,82.53,Both Missing
1980s,1985,Material Girl - 2024 Remaster,Madonna,,65,4.04,False,0.102,0.595,351,25.07,86.9,Missing Genre Only
1980s,1989,If I Could Turn Back Time,Cher,,72,4.0,False,0.07,0.336,387,23.51,96.82,Missing Genre Only
1980s,1983,Every Breath You Take,The Police,,92,4.23,False,-0.2,0.486,383,18.8,90.5,Missing Genre Only
1980s,2025,"Maniac - From ""Flashdance""",Michael Sembello,,74,4.1,False,-0.075,0.775,312,35.26,76.1,Both Missing
1980s,1980,The Winner Takes It All,ABBA,,85,4.91,False,-0.178,0.437,331,44.41,67.39,Missing Genre Only
1980s,1983,I'm Still Standing,Elton John,,84,3.06,False,0.113,0.523,326,31.9,106.63,Missing Genre Only
1980s,2012,The Way You Make Me Feel - 2012 Remaster,Michael Jackson,,72,4.97,False,0.155,0.513,620,18.39,124.75,Both Missing
1980s,1980,Lay All Your Love On Me,ABBA,,80,4.57,False,0.26,0.584,264,39.39,57.71,Missing Genre Only
1980s,1989,Another Day in Paradise - 2016 Remaster,Phil Collins,soft rock,82,5.37,False,0.02,0.5,339,25.07,63.13,Missing Lyrics Only
1980s,1989,Like a Prayer,Madonna,,74,5.68,False,-0.141,0.39,586,15.02,103.15,Missing Genre Only
1980s,1998,Your Love,The Outfield,,76,3.7,False,0.34,0.571,289,35.29,78.16,Missing Genre Only
1980s,1986,(I Just) Died In Your Arms,Cutting Crew,,81,4.67,False,0.257,0.713,328,35.98,70.19,Missing Genre Only
1980s,1994,Smooth Operator - Single Version,Sade,,82,4.31,False,0.283,0.478,211,49.76,48.96,Both Missing
1980s,2001,Eyes Without A Face - Remastered 1999,Billy Idol,,64,4.96,False,0.026,0.49,318,42.14,64.11,Both Missing
1980s,1986,Don't Dream It's Over,Crowded House,,76,3.97,False,0.494,0.412,269,35.32,67.77,Missing Genre Only
1980s,1982,Should I Stay or Should I Go - Remastered,The Clash,punk,81,3.15,False,0.143,0.33,349,33.52,110.79,Missing Lyrics Only
1980s,2004,Call Me,Blondie,,76,3.54,False,0.362,0.602,418,24.4,118.18,Missing Genre Only
1980s,1979,Rock with You - Single Version,Michael Jackson,,82,3.67,False,0.233,0.578,279,29.03,76.12,Missing Genre Only
1980s,1986,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,"new wave, madchester, jangle pop",84,4.08,False,0.217,0.501,331,28.1,81.13,Missing Lyrics Only
1980s,1986,La Isla Bonita,Madonna,,75,4.05,False,0.148,0.45,340,32.65,84.04,Missing Genre Only
1980s,2012,Bad - 2012 Remaster,Michael Jackson,,67,4.12,False,-0.512,0.634,613,19.74,148.79,Both Missing
1980s,1987,Everywhere - 2017 Remaster,Fleetwood Mac,"classic rock, yacht rock, soft rock",84,3.78,False,0.373,0.5,218,25.69,57.67,Missing Lyrics Only
1980s,2024,Careless Whisper - Remastered,George Michael,,80,5.06,False,0.091,0.649,347,34.87,68.6,Missing Genre Only
1980s,1982,P.Y.T. (Pretty Young Thing),Michael Jackson,,77,3.97,False,0.333,0.683,499,23.85,125.62,Missing Genre Only
1980s,1987,Just Like Heaven - Remastered 2006,The Cure,"new wave, post-punk, gothic rock, darkwave",77,3.53,False,0.115,0.562,204,50.0,57.79,Missing Lyrics Only
1980s,1982,Under Pressure - Remastered 2011,Queen,"classic rock, rock, glam rock",82,4.14,False,0.342,0.519,327,38.84,78.99,Missing Lyrics Only
1980s,2008,Beat It,Michael Jackson,,76,4.3,False,0.103,0.563,465,20.0,108.12,Missing Genre Only
1980s,1983,Sweet Dreams (Are Made of This) - 2005 Remaster,Eurythmics,"new wave, synthpop",85,3.62,False,0.35,0.65,278,14.39,76.8,Missing Lyrics Only
1980s,1986,"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,,75,5.81,False,0.275,0.597,552,20.47,95.01,Both Missing
1980s,1984,I Want to Know What Love Is - 1999 Remaster,Foreigner,"aor, classic rock",85,5.08,False,0.307,0.601,379,25.59,74.61,Missing Lyrics Only
1980s,1983,Gold - 2003 Remaster,Spandau Ballet,"new wave, synthpop",68,4.85,False,0.247,0.632,323,32.51,66.6,Missing Lyrics Only
1980s,1981,Dancing With Myself - Uptown Mix,Generation X,,66,6.0,False,-0.001,0.549,392,21.94,65.33,Both Missing
1980s,2009,Total Eclipse of the Heart,Bonnie Tyler,,81,4.46,False,0.171,0.661,694,19.31,155.75,Missing Genre Only
1980s,1981,Down Under,Men At Work,,80,3.71,False,0.246,0.402,339,25.66,91.49,Missing Genre Only
1980s,1984,Self Control,Laura Branigan,,79,4.11,False,0.199,0.509,451,20.62,109.8,Missing Genre Only
1980s,1980,Video Killed The Radio Star,The Buggles,,64,4.23,False,-0.113,0.131,324,29.01,76.6,Missing Genre Only
1980s,1999,"Take My Breath Away - Love Theme from ""Top Gun""",Berlin,,74,4.26,False,0.051,0.613,192,38.54,45.07,Both Missing
1980s,1984,Heaven,Bryan Adams,,83,4.06,False,0.074,0.524,306,35.62,75.44,Missing Genre Only
1980s,1980,Super Trouper,ABBA,,75,4.21,False,0.001,0.512,451,24.61,107.02,Missing Genre Only
1980s,2014,Time After Time,Cyndi Lauper,,71,4.05,False,-0.036,0.45,283,28.98,69.86,Missing Genre Only
1980s,1989,Lovesong - Remastered,The Cure,"new wave, post-punk, gothic rock, darkwave",72,3.47,False,0.348,0.611,157,21.02,45.24,Missing Lyrics Only
1980s,1987,I Think We're Alone Now,Tiffany,,76,3.81,False,0.2,0.682,390,18.72,102.25,Missing Genre Only
1980s,1997,Live Is Life - Live,Opus,,58,4.24,False,0.303,0.406,285,20.7,67.16,Missing Genre Only
1980s,1981,In The Air Tonight - 2015 Remastered,Phil Collins,soft rock,81,5.61,False,0.283,0.467,370,24.32,65.95,Missing Lyrics Only
1980s,1984,Still Loving You - 2015 - Remaster,Scorpions,"hard rock, glam metal, rock",63,6.48,False,0.391,0.579,314,25.8,48.46,Missing Lyrics Only
1980s,1983,Say Say Say - Remastered 2015,Paul McCartney,,68,3.93,False,0.141,0.518,313,31.63,79.64,Both Missing
